"serial" "s1gender" "ethsfr" "famsec" "s1pared" "s1expel" "s1truan" "s1weight" "s1peta2" "gcsepts" "graddsci" "satdsci" "gradfren" "satfren" "gradit" "satit" "gradphys" "satphys" "gradchem" "satchem" "gradbiol" "satbiol" "gradmath" "satmath" "gradeng" "sateng" "pcschtype"
"2282" 64766 "Female" "White" "Lower professional and higher technical occupations" "At least one parent with A-level" "Not excluded" "No truancy" 0.5495276828794 "5+ A*-C" 86 "A*" "Yes" "A*" "Yes" "C" "Yes" NA "No" NA "No" NA "No" "A*" "Yes" "A" "Yes" "Grammar"
"2283" 64774 "Female" "White" "Large employers and higher professionals" "Neither parent with A-level" "Not excluded" "No truancy" 0.775578530950214 "5+ A*-C" 73 "B" "Yes" "C" "Yes" "B" "Yes" NA "No" NA "No" NA "No" "B" "Yes" "B" "Yes" "Comprehensive 16"
"2284" 64790 "Male" "White" "Lower professional and higher technical occupations" "At least one parent with degree" "Not excluded" "No truancy" 1.26654346730081 "1-4 A*-C" 42.5 "C" "Yes" "E" "Yes" "D" "Yes" NA "No" NA "No" NA "No" "D" "Yes" "D" "Yes" "Comprehensive 16"
"2285" 64808 "Female" "White" "Lower supervisory occupations" "At least one parent with A-level" "Not excluded" "No truancy" 0.869942155268384 "5+ A*-C" 44 "C" "Yes" NA "No" NA "No" NA "No" NA "No" NA "No" "C" "Yes" "C" "Yes" "Comprehensive 18"
"2286" 64824 "Male" "White" "Semi routine and routine occupations" "Neither parent with A-level" "Not excluded" "No truancy" 0.684062960079372 "5+ A*-C" 74 "A" "Yes" "A" "Yes" NA "No" NA "No" NA "No" NA "No" "A*" "Yes" "A" "Yes" "Grammar"
"2287" 64832 "Male" "White" "Lower professional and higher technical occupations" "At least one parent with degree" "Not excluded" "No truancy" 0.684062960079372 "5+ A*-C" 58 "C" "Yes" NA "No" NA "No" NA "No" NA "No" NA "No" "B" "Yes" "B" "Yes" "Grammar"
"2288" 64840 "Male" "White" "Other" "At least one parent with degree" "Not excluded" "No truancy" 0.684062960079372 "5+ A*-C" 79 "A*" "Yes" NA "No" NA "No" NA "No" NA "No" NA "No" "A*" "Yes" "A*" "Yes" "Grammar"
"2289" 64857 "Female" "White" "Intermediate occupations" "Neither parent with A-level" "Not excluded" "No truancy" 0.708530869252556 "5+ A*-C" 62 "C" "Yes" "D" "Yes" "C" "Yes" NA "No" NA "No" NA "No" "B" "Yes" "B" "Yes" "Comprehensive 18"
"2290" 64873 "Male" "White" "Large employers and higher professionals" "Neither parent with A-level" "Not excluded" "No truancy" 1.0385989813825 "5+ A*-C" 54 "D" "Yes" NA "No" NA "No" NA "No" NA "No" NA "No" "E" "Yes" "B" "Yes" "Comprehensive 18"
"2291" 64881 "Female" "White" "Intermediate occupations" "Neither parent with A-level" "Not excluded" "No truancy" 0.708530869252556 "5+ A*-C" 65 "D" "Yes" NA "No" NA "No" NA "No" NA "No" NA "No" "B" "Yes" "B" "Yes" "Comprehensive 18"
"2292" 64915 "Male" "White" "Other" "At least one parent with A-level" "Expelled" "Persistant truancy" 3.18172974288948 "None" 1.5 "Fail" "No" NA "No" NA "No" NA "No" NA "No" NA "No" NA "No" NA "No" "Comprehensive 18"
"2293" 64923 "Male" "White" "Large employers and higher professionals" "At least one parent with degree" "Not excluded" "No truancy" 0.893857233950997 "5+ A*-C" 62 "C" "Yes" NA "No" "A" "Yes" NA "No" NA "No" NA "No" "A" "Yes" "A" "Yes" "Comprehensive 16"
"2294" 64931 "Male" "White" "Large employers and higher professionals" "At least one parent with A-level" "Not excluded" "No truancy" 1.0385989813825 "5+ A*-C" 45 "C" "Yes" "D" "Yes" "D" "Yes" NA "No" NA "No" NA "No" "D" "Yes" "C" "Yes" "Comprehensive 18"
"2295" 64949 "Male" "White" "Lower professional and higher technical occupations" "Neither parent with A-level" "Not excluded" "No truancy" 1.0385989813825 "5+ A*-C" 48 "C" "Yes" NA "No" NA "No" NA "No" NA "No" NA "No" "D" "Yes" "E" "Yes" "Comprehensive 18"
"2296" 64956 "Male" "White" "Intermediate occupations" "At least one parent with degree" "Not excluded" "No truancy" 0.893857233950997 "5+ A*-C" 56 "Fail" "No" "D" "Yes" "C" "Yes" "C" "Yes" "C" "Yes" "B" "Yes" "B" "Yes" "B" "Yes" "Comprehensive 18"
"2297" 64964 "Female" "Other ethnic group(inc mixed)" "Other" "Neither parent with A-level" "Not excluded" "No truancy" 0.708530869252556 "5+ A*-C" 61 "B" "Yes" "B" "Yes" NA "No" NA "No" NA "No" NA "No" "A" "Yes" "B" "Yes" "Comprehensive 18"
"2298" 64972 "Female" "White" "Intermediate occupations" "At least one parent with degree" "Not excluded" "No truancy" 0.708530869252556 "5+ A*-C" 89 "A" "Yes" "A*" "Yes" NA "No" NA "No" NA "No" NA "No" "A*" "Yes" "A" "Yes" "Comprehensive 18"
"2299" 64980 "Female" "White" "Other" "At least one parent with A-level" "Not excluded" "No truancy" 0.708530869252556 "5+ A*-C" 92 "A*" "Yes" "A*" "Yes" NA "No" NA "No" NA "No" NA "No" "A*" "Yes" "A" "Yes" "Comprehensive 18"
"2300" 64998 "Female" NA "Large employers and higher professionals" "At least one parent with degree" "Not excluded" "No truancy" 0.689282533204096 "5+ A*-C" 84 "Fail" "No" "A*" "Yes" NA "No" "A*" "Yes" "A*" "Yes" "A" "Yes" "A*" "Yes" "A" "Yes" "Grammar"
"2301" 65003 "Female" "White" "Intermediate occupations" "At least one parent with A-level" "Suspended" "Occasional truancy" 1.11223345725935 "1-4 A*-C" 22.5 "F" "Yes" NA "No" NA "No" NA "No" NA "No" NA "No" "G" "Yes" "E" "Yes" "Comprehensive 16"
"2302" 65011 "Female" "White" "Lower supervisory occupations" "Neither parent with A-level" "Not excluded" "No truancy" 0.708530869252556 "5+ A*-C" 83 "A" "Yes" "B" "Yes" NA "No" NA "No" NA "No" NA "No" "B" "Yes" "A" "Yes" "Comprehensive 18"
"2303" 65029 "Female" "White" "Large employers and higher professionals" "At least one parent with A-level" "Not excluded" "No truancy" 0.708530869252556 "5+ A*-C" 69 "A" "Yes" "A*" "Yes" NA "No" NA "No" NA "No" NA "No" "B" "Yes" "A" "Yes" "Comprehensive 18"
"2304" 65037 "Male" "White" "Lower professional and higher technical occupations" "At least one parent with degree" "Not excluded" "No truancy" 0.893857233950997 "5+ A*-C" 55 "A" "Yes" "B" "Yes" NA "No" NA "No" NA "No" NA "No" "B" "Yes" "B" "Yes" "Comprehensive 16"
"2305" 65045 "Male" "White" "Lower professional and higher technical occupations" "Neither parent with A-level" "Not excluded" "No truancy" 0.893857233950997 "5+ A*-C" 65 "Fail" "No" NA "No" NA "No" NA "No" NA "No" NA "No" "B" "Yes" "B" "Yes" "Comprehensive 16"
"2306" 65052 "Male" "White" "Intermediate occupations" "At least one parent with A-level" "Not excluded" "No truancy" 0.893857233950997 "5+ A*-C" 68.5 "A" "Yes" "B" "Yes" "A*" "Yes" NA "No" NA "No" NA "No" "A" "Yes" "A" "Yes" "Comprehensive 16"
"2307" 65078 "Female" "White" "Intermediate occupations" "Neither parent with A-level" "Not excluded" "No truancy" 1.11223345725935 "1-4 A*-C" 33.5 "D" "Yes" "E" "Yes" NA "No" NA "No" NA "No" NA "No" "D" "Yes" "D" "Yes" "Comprehensive 16"
"2308" 65086 "Female" "White" "Intermediate occupations" "At least one parent with A-level" "Not excluded" "No truancy" 0.708530869252556 "5+ A*-C" 78.5 "A" "Yes" "A" "Yes" NA "No" NA "No" NA "No" NA "No" "A" "Yes" "A" "Yes" "Comprehensive 16"
"2309" 65094 "Female" "White" "Intermediate occupations" "Neither parent with A-level" "Not excluded" "No truancy" 1.11223345725935 "1-4 A*-C" 27.5 "E" "Yes" "D" "Yes" NA "No" NA "No" NA "No" NA "No" "E" "Yes" "F" "Yes" "Comprehensive 18"
"2310" 65102 "Male" "White" "Intermediate occupations" "At least one parent with A-level" "Not excluded" "No truancy" 0.893857233950997 "5+ A*-C" 68.5 "Fail" "No" NA "No" NA "No" "C" "Yes" "B" "Yes" "B" "Yes" "A" "Yes" "C" "Yes" "Comprehensive 18"
"2311" 65110 "Female" "White" "Lower professional and higher technical occupations" "At least one parent with degree" "Not excluded" "No truancy" 1.11223345725935 "1-4 A*-C" 40 "D" "Yes" "D" "Yes" NA "No" NA "No" NA "No" NA "No" "C" "Yes" "C" "Yes" "Comprehensive 18"
"2312" 65144 "Male" "White" "Lower professional and higher technical occupations" "At least one parent with A-level" "Not excluded" "No truancy" 1.0385989813825 "5+ A*-C" 49 "Fail" "No" NA "No" "Fail" "Yes" NA "No" NA "No" NA "No" "D" "Yes" "B" "Yes" "Comprehensive 18"
"2313" 65151 "Male" "White" "Intermediate occupations" "Neither parent with A-level" "Not excluded" "No truancy" 1.46815343469216 "1-4 A*-C" 42 "Fail" "No" "E" "Yes" "F" "Yes" NA "No" NA "No" NA "No" "E" "Yes" "D" "Yes" "Comprehensive 18"
"2314" 65169 "Male" "White" "Intermediate occupations" "At least one parent with A-level" "Not excluded" "No truancy" 0.893857233950997 "5+ A*-C" 65 "Fail" "No" NA "No" NA "No" NA "No" NA "No" NA "No" "D" "Yes" "C" "Yes" "Comprehensive 18"
"2315" 65177 "Male" "White" "Intermediate occupations" "Neither parent with A-level" "Not excluded" "No truancy" 1.0385989813825 "5+ A*-C" 46 "B" "Yes" "C" "Yes" NA "No" NA "No" NA "No" NA "No" "C" "Yes" "D" "Yes" "Comprehensive 18"
"2316" 65185 "Male" "White" "Other" "At least one parent with A-level" "Suspended" "No truancy" 0.954715125288149 "5+ A*-C" 56 "B" "Yes" "A*" "Yes" NA "No" NA "No" NA "No" NA "No" "B" "Yes" "B" "Yes" "Grammar"
"2317" 65201 "Female" "White" "Other" "Neither parent with A-level" "Not excluded" "Occasional truancy" 0.708530869252556 "5+ A*-C" 60 "Fail" "No" NA "No" NA "No" "C" "Yes" "C" "Yes" "C" "Yes" "C" "Yes" "B" "Yes" "Comprehensive 18"
"2318" 65219 "Male" "White" "Other" "At least one parent with A-level" "Not excluded" "Occasional truancy" 1.0385989813825 "5+ A*-C" 38 "D" "Yes" NA "No" NA "No" NA "No" NA "No" NA "No" "C" "Yes" "C" "Yes" "Comprehensive 18"
"2319" 65227 "Male" "White" "Intermediate occupations" "Neither parent with A-level" "Suspended" "Persistant truancy" 2.00882288313689 "1-4 D-G" 2 "G" "Yes" NA "No" NA "No" NA "No" NA "No" NA "No" "Fail" "Yes" NA "No" "Comprehensive 18"
"2320" 65243 "Female" "White" "Lower professional and higher technical occupations" "At least one parent with degree" "Not excluded" "No truancy" 0.689282533204096 "5+ A*-C" 81.5 "Fail" "No" "A*" "Yes" NA "No" "A" "Yes" "A*" "Yes" "A*" "Yes" "A*" "Yes" "A*" "Yes" "Grammar"
"2321" 65276 "Male" "White" "Lower supervisory occupations" "Neither parent with A-level" "Not excluded" "No truancy" 1.46815343469216 "1-4 A*-C" 28 "Fail" "No" NA "No" NA "No" NA "No" NA "No" NA "No" "E" "Yes" "D" "Yes" "Comprehensive 18"
"2322" 65284 "Female" "White" "Lower professional and higher technical occupations" "At least one parent with degree" "Not excluded" "No truancy" 0.708530869252556 "5+ A*-C" 53 "C" "Yes" "B" "Yes" "C" "Yes" NA "No" NA "No" NA "No" "C" "Yes" "C" "Yes" "Comprehensive 18"
"2323" 65318 "Male" "White" "Other" "Neither parent with A-level" "Suspended" "Occasional truancy" 2.00882288313689 "5+ D-G" 30 "E" "Yes" NA "No" "F" "Yes" NA "No" NA "No" NA "No" "E" "Yes" "D" "Yes" "Comprehensive 16"
"2324" 65334 "Female" "White" "Large employers and higher professionals" "At least one parent with A-level" "Not excluded" "Occasional truancy" 1.03331615797896 "5+ A*-C" 46.5 "D" "Yes" "C" "Yes" NA "No" NA "No" NA "No" NA "No" "C" "Yes" "B" "Yes" "Comprehensive 18"
"2325" 65342 "Female" "White" "Other" "Neither parent with A-level" "Not excluded" "No truancy" 0.708530869252556 "5+ A*-C" 70.5 "C" "Yes" "B" "Yes" NA "No" NA "No" NA "No" NA "No" "B" "Yes" "A" "Yes" "Comprehensive 18"
"2326" 65359 "Male" "White" "Large employers and higher professionals" "At least one parent with A-level" "Not excluded" "No truancy" 0.893857233950997 "5+ A*-C" 66 "B" "Yes" NA "No" NA "No" NA "No" NA "No" NA "No" "B" "Yes" "A" "Yes" "Comprehensive 18"
"2327" 65367 "Male" "White" "Lower supervisory occupations" "Neither parent with A-level" "Not excluded" "No truancy" 0.954715125288149 "5+ A*-C" 71.5 "A" "Yes" "A" "Yes" NA "No" NA "No" NA "No" NA "No" "B" "Yes" "A" "Yes" "Grammar"
"2328" 65383 "Female" "Pakistani" "Large employers and higher professionals" "At least one parent with degree" "Not excluded" "No truancy" 0.689282533204096 "5+ A*-C" 73 "Fail" "No" NA "No" NA "No" "A" "Yes" "A" "Yes" "A" "Yes" "A" "Yes" "A*" "Yes" "Grammar"
"2329" 65391 "Male" "White" "Intermediate occupations" "At least one parent with A-level" "Not excluded" "No truancy" 1.0385989813825 "5+ A*-C" 47 "C" "Yes" "E" "Yes" "C" "Yes" NA "No" NA "No" NA "No" "B" "Yes" "C" "Yes" "CTC/Other maintained"
"2330" 65417 "Male" "White" "Intermediate occupations" "Neither parent with A-level" "Not excluded" "No truancy" 1.46815343469216 "1-4 A*-C" 31 "E" "Yes" "E" "Yes" NA "No" NA "No" NA "No" NA "No" "Fail" "Yes" "E" "Yes" "Comprehensive 16"
"2331" 65433 "Female" "White" "Intermediate occupations" "Neither parent with A-level" "Not excluded" "Occasional truancy" 1.11223345725935 "1-4 A*-C" 35 "E" "Yes" NA "No" NA "No" NA "No" NA "No" NA "No" "E" "Yes" "D" "Yes" "Comprehensive 16"
"2332" 65458 "Female" "White" "Intermediate occupations" "At least one parent with degree" "Suspended" "No truancy" 1.70969032889771 "5+ D-G" 11.5 "G" "Yes" "G" "Yes" NA "No" NA "No" NA "No" NA "No" "F" "Yes" "G" "Yes" "Comprehensive 16"
"2333" 65466 "Male" "White" "Lower professional and higher technical occupations" "At least one parent with A-level" "Suspended" "No truancy" 1.46815343469216 "1-4 A*-C" 33.5 "D" "Yes" NA "No" NA "No" NA "No" NA "No" NA "No" "C" "Yes" "C" "Yes" "Comprehensive 16"
"2334" 65474 "Female" "White" "Semi routine and routine occupations" "At least one parent with A-level" "Not excluded" "No truancy" 0.917524929520281 "5+ A*-C" 55.5 "C" "Yes" "C" "Yes" NA "No" NA "No" NA "No" NA "No" "C" "Yes" "B" "Yes" "Comprehensive 16"
"2335" 65490 "Female" "White" "Other" "Neither parent with A-level" "Not excluded" "No truancy" 1.64647460470774 "1-4 A*-C" 30 "E" "Yes" "F" "Yes" "E" "Yes" NA "No" NA "No" NA "No" "E" "Yes" "D" "Yes" "Comprehensive 18"
"2336" 65508 "Male" "White" "Intermediate occupations" "At least one parent with A-level" "Not excluded" "Occasional truancy" 1.33232922330897 "5+ A*-C" 44 "D" "Yes" "F" "Yes" "E" "Yes" NA "No" NA "No" NA "No" "B" "Yes" "B" "Yes" "Comprehensive 18"
"2337" 65516 "Male" "White" "Lower supervisory occupations" "Neither parent with A-level" "Not excluded" "No truancy" 2.04590964732174 "5+ D-G" 18 "F" "Yes" "D" "Yes" NA "No" NA "No" NA "No" NA "No" "F" "Yes" "F" "Yes" "Comprehensive 18"
"2338" 65524 "Male" "White" "Semi routine and routine occupations" "Neither parent with A-level" "Not excluded" "No truancy" 1.1384513132444 "5+ A*-C" 61 "C" "Yes" "D" "Yes" NA "No" NA "No" NA "No" NA "No" "C" "Yes" "C" "Yes" "Comprehensive 18"
"2339" 65532 "Female" "White" "Semi routine and routine occupations" "Neither parent with A-level" "Not excluded" "No truancy" 1.42419614940262 "5+ A*-C" 46.5 "C" "Yes" "E" "Yes" NA "No" NA "No" NA "No" NA "No" "D" "Yes" "C" "Yes" "Comprehensive 18"
"2340" 65540 "Female" "White" "Lower professional and higher technical occupations" "At least one parent with A-level" "Not excluded" "Occasional truancy" 1.42419614940262 "5+ A*-C" 47 "C" "Yes" "C" "Yes" NA "No" NA "No" NA "No" NA "No" "D" "Yes" "B" "Yes" "Comprehensive 18"
"2341" 65557 "Male" "White" "Lower professional and higher technical occupations" "At least one parent with degree" "Not excluded" "No truancy" 1.1384513132444 "5+ A*-C" 50 "C" "Yes" NA "No" NA "No" NA "No" NA "No" NA "No" "C" "Yes" "C" "Yes" "Comprehensive 18"
"2342" 65565 "Female" "White" "Semi routine and routine occupations" "Neither parent with A-level" "Not excluded" "No truancy" 1.90359707138164 "5+ D-G" 20.5 "Fail" "No" "E" "Yes" NA "No" NA "No" NA "No" NA "No" "Fail" "Yes" "E" "Yes" "Comprehensive 18"
"2343" 65573 "Female" "White" "Lower supervisory occupations" "Neither parent with A-level" "Not excluded" "No truancy" 1.64647460470774 "1-4 A*-C" 26.5 "E" "Yes" NA "No" "E" "Yes" NA "No" NA "No" NA "No" "E" "Yes" "F" "Yes" "Comprehensive 18"
"2344" 65599 "Male" "White" "Large employers and higher professionals" "At least one parent with A-level" "Not excluded" "No truancy" 1.1384513132444 "5+ A*-C" 57 "Fail" "No" "C" "Yes" NA "No" "B" "Yes" "C" "Yes" "B" "Yes" "A" "Yes" "B" "Yes" "Comprehensive 18"
"2345" 65623 "Male" "White" "Other" "At least one parent with degree" "Not excluded" "Occasional truancy" 2.04590964732174 "5+ D-G" 27 "D" "Yes" "G" "Yes" NA "No" NA "No" NA "No" NA "No" "E" "Yes" "E" "Yes" "Comprehensive 18"
"2346" 65631 "Male" "White" "Large employers and higher professionals" "At least one parent with degree" "Not excluded" "No truancy" 1.1384513132444 "5+ A*-C" 79 "B" "Yes" NA "No" NA "No" NA "No" NA "No" NA "No" "B" "Yes" "B" "Yes" "Comprehensive 18"
"2347" 65649 "Female" "White" "Lower professional and higher technical occupations" "Neither parent with A-level" "Not excluded" "No truancy" 0.42425628676955 "5+ A*-C" 73 "C" "Yes" "C" "Yes" NA "No" NA "No" NA "No" NA "No" "B" "Yes" "B" "Yes" "Comprehensive 18"
"2348" 65656 "Female" "White" "Semi routine and routine occupations" "Neither parent with A-level" "Not excluded" "No truancy" 0.658537060451272 "5+ A*-C" 45.5 "D" "Yes" NA "No" NA "No" NA "No" NA "No" NA "No" "E" "Yes" "C" "Yes" "Comprehensive 18"
"2349" 65664 "Male" "Pakistani" "Other" "Neither parent with A-level" "Not excluded" "No truancy" 2.04590964732174 "5+ D-G" 12.5 "Fail" "No" "F" "Yes" NA "No" NA "No" NA "No" NA "No" "F" "Yes" "E" "Yes" "Comprehensive 18"
"2350" 65672 "Female" "White" "Lower professional and higher technical occupations" "At least one parent with degree" "Not excluded" "No truancy" 0.917524929520281 "5+ A*-C" 71 "A" "Yes" "A" "Yes" NA "No" NA "No" NA "No" NA "No" "C" "Yes" "A" "Yes" "Comprehensive 18"
"2351" 65680 "Male" "White" "Lower professional and higher technical occupations" "Neither parent with A-level" "Not excluded" "No truancy" 1.1384513132444 "5+ A*-C" 60 "A" "Yes" "C" "Yes" NA "No" NA "No" NA "No" NA "No" "A" "Yes" "B" "Yes" "Comprehensive 18"
"2352" 65698 "Male" "White" "Large employers and higher professionals" "Neither parent with A-level" "Not excluded" "No truancy" 1.1384513132444 "5+ A*-C" 57 "B" "Yes" "C" "Yes" NA "No" NA "No" NA "No" NA "No" "B" "Yes" "C" "Yes" "Comprehensive 18"
"2353" 65706 "Female" "White" "Intermediate occupations" "At least one parent with degree" "Not excluded" "Occasional truancy" 0.917524929520281 "5+ A*-C" 64 "A" "Yes" "B" "Yes" NA "No" NA "No" NA "No" NA "No" "B" "Yes" "A" "Yes" "Comprehensive 18"
"2354" 65714 "Male" "White" "Intermediate occupations" "Neither parent with A-level" "Not excluded" "Occasional truancy" 1.33232922330897 "5+ A*-C" 47 "C" "Yes" "D" "Yes" NA "No" NA "No" NA "No" NA "No" "C" "Yes" "C" "Yes" "Comprehensive 18"
"2355" 65722 "Male" "White" "Intermediate occupations" "Neither parent with A-level" "Not excluded" "No truancy" 0.760554096581895 "5+ A*-C" 61 "Fail" "No" NA "No" NA "No" NA "No" NA "No" NA "No" "C" "Yes" "C" "Yes" "Comprehensive 18"
"2356" 65748 "Male" "White" "Intermediate occupations" "Neither parent with A-level" "Not excluded" "No truancy" 1.37730898277476 "5+ A*-C" 47 "C" "Yes" NA "No" "C" "Yes" NA "No" NA "No" NA "No" "B" "Yes" "C" "Yes" "Grammar"
"2357" 65763 "Female" "White" "Intermediate occupations" "Neither parent with A-level" "Not excluded" "No truancy" 0.736719067914086 "5+ A*-C" 47 "C" "Yes" NA "No" NA "No" NA "No" NA "No" NA "No" "C" "Yes" "B" "Yes" "Grammar"
"2358" 65771 "Female" "White" "Intermediate occupations" "Neither parent with A-level" "Not excluded" "No truancy" 0.736719067914086 "5+ A*-C" 60 "C" "Yes" NA "No" NA "No" NA "No" NA "No" NA "No" "B" "Yes" "A" "Yes" "Grammar"
"2359" 65789 "Male" "White" "Other" "Neither parent with A-level" "Suspended" "Occasional truancy" 2.10062046771783 "5+ D-G" 24.5 "E" "Yes" "E" "Yes" NA "No" NA "No" NA "No" NA "No" "E" "Yes" "F" "Yes" "Modern"
"2360" 65797 "Male" "White" "Other" "At least one parent with A-level" "Not excluded" "No truancy" 0.760554096581895 "5+ A*-C" 51 "C" "Yes" "D" "Yes" "C" "Yes" NA "No" NA "No" NA "No" "B" "Yes" "C" "Yes" "Modern"
"2361" 65813 "Female" "White" "Large employers and higher professionals" "Neither parent with A-level" "Not excluded" "No truancy" 0.736719067914086 "5+ A*-C" 71.5 "A" "Yes" "A" "Yes" NA "No" NA "No" NA "No" NA "No" "A" "Yes" "A" "Yes" "Grammar"
"2362" 65839 "Female" "White" "Intermediate occupations" "Neither parent with A-level" "Not excluded" "No truancy" 0.736719067914086 "5+ A*-C" 60 "A" "Yes" NA "No" "A*" "Yes" NA "No" NA "No" NA "No" "C" "Yes" "A" "Yes" "Grammar"
"2363" 65854 "Female" "White" "Semi routine and routine occupations" "Neither parent with A-level" "Not excluded" "No truancy" 1.04865021849333 "1-4 A*-C" 30.5 "Fail" "No" "E" "Yes" "D" "Yes" NA "No" NA "No" NA "No" "E" "Yes" "F" "Yes" "Modern"
"2364" 65870 "Male" "White" "Lower professional and higher technical occupations" "At least one parent with degree" "Not excluded" "No truancy" 1.46983890690023 "1-4 A*-C" 36 "D" "Yes" "F" "Yes" "D" "Yes" NA "No" NA "No" NA "No" "C" "Yes" "D" "Yes" "Modern"
"2365" 65896 "Male" "White" "Large employers and higher professionals" "At least one parent with degree" "Suspended" "No truancy" 0.760554096581895 "5+ A*-C" 55 "B" "Yes" NA "No" NA "No" NA "No" NA "No" NA "No" "C" "Yes" "C" "Yes" "Modern"
"2366" 65904 "Female" "White" "Other" "At least one parent with A-level" "Not excluded" "No truancy" 0.736719067914086 "5+ A*-C" 55 "C" "Yes" "C" "Yes" NA "No" NA "No" NA "No" NA "No" "B" "Yes" "B" "Yes" "Grammar"
"2367" 65912 "Female" "White" "Lower professional and higher technical occupations" "At least one parent with A-level" "Not excluded" "No truancy" 0.736719067914086 "5+ A*-C" 55.5 "B" "Yes" NA "No" NA "No" NA "No" NA "No" NA "No" "A" "Yes" "C" "Yes" "Grammar"
"2368" 65938 "Male" "White" "Lower professional and higher technical occupations" "At least one parent with degree" "Not excluded" "No truancy" 1.22148907610954 "5+ A*-C" 65 "A" "Yes" NA "No" NA "No" NA "No" NA "No" NA "No" "A" "Yes" "A*" "Yes" "Grammar"
"2369" 65953 "Male" "White" "Lower professional and higher technical occupations" "At least one parent with degree" "Not excluded" "No truancy" 1.22148907610954 "5+ A*-C" 77 "Fail" "No" "A*" "Yes" NA "No" "A*" "Yes" "A*" "Yes" "A" "Yes" "A*" "Yes" "A*" "Yes" "Grammar"
"2370" 65961 "Female" "White" "Lower supervisory occupations" "Neither parent with A-level" "Not excluded" "No truancy" 1.04865021849333 "1-4 A*-C" 20 "F" "Yes" "F" "Yes" "G" "Yes" NA "No" NA "No" NA "No" "F" "Yes" "E" "Yes" "Comprehensive 18"
"2371" 65979 "Female" "White" "Large employers and higher professionals" "At least one parent with degree" "Not excluded" "No truancy" 0.736719067914086 "5+ A*-C" 53 "C" "Yes" NA "No" NA "No" NA "No" NA "No" NA "No" "B" "Yes" "B" "Yes" "Grammar"
"2372" 65995 "Female" "White" "Lower supervisory occupations" "At least one parent with A-level" "Not excluded" "Occasional truancy" 1.58375177118275 "1-4 D-G" 7 "Fail" "No" NA "No" NA "No" NA "No" NA "No" NA "No" "Fail" "Yes" "G" "Yes" "Modern"
"2373" 66001 "Male" "White" "Other" "Neither parent with A-level" "Not excluded" "No truancy" 1.46983890690023 "1-4 A*-C" 29 "D" "Yes" "F" "Yes" NA "No" NA "No" NA "No" NA "No" "D" "Yes" "E" "Yes" "Modern"
"2374" 66019 "Male" "White" "Intermediate occupations" "Neither parent with A-level" "Not excluded" "No truancy" 0.993475192237992 "5+ A*-C" 45 "C" "Yes" "C" "Yes" NA "No" NA "No" NA "No" NA "No" "B" "Yes" "C" "Yes" "Modern"
"2375" 66027 "Female" "White" "Lower professional and higher technical occupations" "At least one parent with A-level" "Not excluded" "No truancy" 0.694444819207367 "5+ A*-C" 52 "B" "Yes" "D" "Yes" NA "No" NA "No" NA "No" NA "No" "B" "Yes" "B" "Yes" "Comprehensive 18"
"2376" 66035 "Male" "White" "Lower supervisory occupations" "Neither parent with A-level" "Not excluded" "Occasional truancy" 2.10062046771783 "5+ D-G" 11 "Fail" "No" NA "No" NA "No" NA "No" NA "No" NA "No" "G" "Yes" "F" "Yes" "Comprehensive 18"
"2377" 66050 "Female" "White" "Lower professional and higher technical occupations" "At least one parent with A-level" "Not excluded" "Occasional truancy" 0.694444819207367 "5+ A*-C" 53.5 "C" "Yes" "D" "Yes" NA "No" NA "No" NA "No" NA "No" "D" "Yes" "C" "Yes" "Comprehensive 18"
"2378" 66076 "Female" "White" "Large employers and higher professionals" "At least one parent with degree" "Not excluded" "Occasional truancy" 0.694444819207367 "5+ A*-C" 47 "C" "Yes" "E" "Yes" NA "No" NA "No" NA "No" NA "No" "D" "Yes" "C" "Yes" "Comprehensive 18"
"2379" 66092 "Male" "White" "Large employers and higher professionals" "At least one parent with A-level" "Not excluded" "No truancy" 1.22148907610954 "5+ A*-C" 51 "C" "Yes" "C" "Yes" "B" "Yes" NA "No" NA "No" NA "No" "C" "Yes" "C" "Yes" "Grammar"
"2380" 66100 "Female" "White" "Large employers and higher professionals" "At least one parent with degree" "Not excluded" "No truancy" 0.736719067914086 "5+ A*-C" 64.5 "A" "Yes" NA "No" NA "No" NA "No" NA "No" NA "No" "B" "Yes" "A" "Yes" "Grammar"
"2381" 66118 "Male" "White" "Intermediate occupations" "At least one parent with degree" "Not excluded" "Occasional truancy" 0.993475192237992 "5+ A*-C" 51 "C" "Yes" NA "No" NA "No" NA "No" NA "No" NA "No" "D" "Yes" "D" "Yes" "Modern"
"2382" 66126 "Female" "White" "Large employers and higher professionals" "Neither parent with A-level" "Not excluded" "Occasional truancy" 1.04865021849333 "1-4 A*-C" 45 "E" "Yes" NA "No" "D" "Yes" NA "No" NA "No" NA "No" "D" "Yes" "C" "Yes" "Comprehensive 18"
"2383" 66142 "Female" "White" "Semi routine and routine occupations" "At least one parent with A-level" "Not excluded" "No truancy" 0.694444819207367 "5+ A*-C" 58 "A" "Yes" NA "No" NA "No" NA "No" NA "No" NA "No" "B" "Yes" "B" "Yes" "Comprehensive 18"
"2384" 66159 "Male" "White" "Lower professional and higher technical occupations" "Neither parent with A-level" "Expelled" "Occasional truancy" 1.46983890690023 "1-4 A*-C" 30 "E" "Yes" "D" "Yes" "E" "Yes" NA "No" NA "No" NA "No" "E" "Yes" "C" "Yes" "CTC/Other maintained"
